test_position,row_id,original_id,y_true,final_python_score,final_python_label,final_python_threshold_margin,final_weka_score,final_weka_label,final_weka_threshold_margin,abs_score_difference
34,188,189,0,0.11001260243611734,0,-0.22152853411822387,0.11001689911862089,0,-0.22152423743572031,4.2966825035545275e-06
35,192,193,0,0.14853215816229248,0,-0.18300897839204872,0.14850719080325744,0,-0.18303394575108375,2.496735903503855e-05
36,197,198,0,0.11894364797812786,0,-0.21259748857621336,0.11894377691931667,0,-0.21259735963502452,1.2894118880946159e-07
37,198,199,0,0.081939691293251127,0,-0.24960144526109007,0.081936009659929407,0,-0.24960512689441178,3.6816333217198904e-06
38,201,202,0,0.18227821070416628,0,-0.14926292585017492,0.18230631798083266,0,-0.14923481857350854,2.8107276666383685e-05
39,205,206,0,0.098892161332736137,0,-0.23264897522160505,0.098894008172681735,0,-0.23264712838165946,1.846839945598977e-06
40,209,210,0,0.12879951770709799,0,-0.2027416188472432,0.12880327016413726,0,-0.20273786639020394,3.7524570392633017e-06
41,210,211,0,0.088385732392494476,0,-0.24315540416184672,0.088388919629384805,0,-0.24315221692495639,3.1872368903285153e-06
42,212,213,0,0.12703387965255067,0,-0.20450725690179053,0.12699612027415827,0,-0.20454501628018293,3.7759378392399068e-05
43,214,215,0,0.61133182155414934,1,0.27979068499980814,0.61131721038364728,1,0.27977607382930608,1.4611170502054627e-05
44,215,216,0,0.27502321867593721,0,-0.056517917878403989,0.27500770685119091,0,-0.056533429703150284,1.5511824746294867e-05
45,220,221,1,0.64335791830331124,1,0.31181678174897004,0.64335670577448512,1,0.31181556922014392,1.2125288261222167e-06
46,226,227,0,0.16173661373473602,0,-0.16980452281960517,0.16173542064227789,0,-0.16980571591206331,1.1930924581349256e-06
47,238,239,1,0.11962996582730252,0,-0.21191117072703869,0.11964315565629095,0,-0.21189798089805023,1.3189828988430241e-05
48,239,240,1,0.018988271328876861,0,-0.31255286522546433,0.018993430269873914,0,-0.31254770628446726,5.1589409970527467e-06
49,243,244,0,0.29432877227605075,0,-0.037212364278290444,0.29431677695433511,0,-0.037224359600006085,1.1995321715640994e-05
50,244,245,0,0.44662546603567532,1,0.11508432948133412,0.44663664081936094,1,0.11509550426501974,1.1174783685619083e-05
51,246,247,0,0.16363393352415659,0,-0.16790720303018461,0.16364364214122137,0,-0.16789749441311982,9.7086170647853187e-06
52,247,248,0,0.11703540969177721,0,-0.21450572686256397,0.117130858096529,0,-0.21441027845781219,9.544840475178562e-05
53,248,249,0,0.17429172207707963,0,-0.15724941447726157,0.17430527050769468,0,-0.15723586604664652,1.3548430615045737e-05
54,249,250,0,0.096454857834311611,0,-0.23508627872002957,0.096472150113876151,0,-0.23506898644046503,1.7292279564540269e-05
55,250,251,0,0.50766430897086412,1,0.17612317241652292,0.50764234221099014,1,0.17610120565664894,2.1966759873981445e-05
56,253,254,0,0.069386668792038489,0,-0.26215446776230272,0.069408207844118761,0,-0.26213292871022242,2.1539052080271626e-05
57,255,256,0,0.080410311426899625,0,-0.25113082512744156,0.080570872814832231,0,-0.25097026373950898,0.00016056138793260621
58,260,261,0,0,0,-0.3315411365543412,8.3138522300330143e-08,0,-0.33154105341581891,8.3138522300330143e-08
59,261,262,0,0.17143336099800174,0,-0.16010777555633945,0.17125724943973308,0,-0.16028388711460811,0.0001761115582686601
60,262,263,0,0.13202914973560081,0,-0.19951198681874038,0.13202210536790268,0,-0.19951903118643852,7.0443676981335468e-06
61,263,264,0,0.055743379976820606,0,-0.27579775657752059,0.055751492641495204,0,-0.27578964391284599,8.1126646745977027e-06
62,265,266,0,0.14474947286311204,0,-0.18679166369122915,0.14472215592588197,0,-0.18681898062845922,2.7316937230070781e-05
63,266,267,0,0.2133892621140964,0,-0.1181518744402448,0.21336511232280003,0,-0.11817602423154117,2.4149791296362855e-05
64,277,278,0,0.16715240689090038,0,-0.16438872966344081,0.16719210976466348,0,-0.16434902678967772,3.9702873763092228e-05
65,279,280,0,0.047173515921125307,0,-0.28436762063321591,0.047107312337888639,0,-0.28443382421645258,6.6203583236668084e-05
66,294,295,0,0.39646885994777931,1,0.064927723393438108,0.39654475668173333,1,0.065003620127392137,7.5896733954028406e-05
67,304,305,0,0.085032072900760383,0,-0.24650906365358083,0.08502152660369891,0,-0.24651960995064229,1.0546297061472809e-05
68,305,306,0,0.12110361923611863,0,-0.21043751731822258,0.12112132391680644,0,-0.21041981263753476,1.7704680687805063e-05
69,306,307,0,0.17732265335091693,0,-0.15421848320342427,0.17732455663175117,0,-0.15421657992259002,1.9032808342422936e-06
70,309,310,0,0.1030957027558253,0,-0.2284454337985159,0.10308616995472689,0,-0.22845496659961431,9.5328010984163658e-06
71,313,314,1,0.44784281095924677,1,0.11630167440490558,0.44788010031172265,1,0.11633896375738145,3.7289352475877724e-05
72,315,316,1,0.15110027507626977,0,-0.18044086147807142,0.15108283560863525,0,-0.18045830094570595,1.7439467634522421e-05
73,326,327,1,0.3868138861813758,1,0.055272749627034601,0.38680959007212307,1,0.055268453517781868,4.296109252732716e-06
74,337,338,0,0.16143169322752277,0,-0.17010944332681843,0.16156886099013168,0,-0.16997227556420952,0.00013716776260891406
75,338,339,1,0.1585709438517843,0,-0.1729701927025569,0.15840744148938052,0,-0.17313369506496068,0.00016350236240378346
76,351,352,0,0.22055003924975261,0,-0.11099109730458859,0.2205579418427665,0,-0.1109831947115747,7.9025930138920675e-06
77,354,355,0,0.66173494853974979,1,0.33019381198540859,0.66171263826412396,1,0.33017150170978277,2.2310275625825327e-05
78,361,362,0,0.015105302829456759,0,-0.31643583372488443,0.015163582543947828,0,-0.31637755401039336,5.8279714491068363e-05
79,367,368,0,0.45649978120375556,1,0.12495864464941436,0.45650010757953025,1,0.12495897102518905,3.2637577468408452e-07
80,368,369,0,0.41805612818230015,1,0.086514991627958948,0.41955787243474746,1,0.088016735880406261,0.0015017442524473124
81,379,380,1,0.13482474617000201,0,-0.19671639038433919,0.13484140765590855,0,-0.19669972889843265,1.6661485906538376e-05
82,385,386,0,0.079299319774590052,0,-0.25224181677975116,0.079299852524829517,0,-0.25224128402951168,5.327502394653072e-07
83,387,388,1,0.34891422648628956,1,0.01737308993194836,0.34891098566187695,1,0.017369849107535751,3.2408244126092001e-06
84,391,392,1,0.13474216629364386,0,-0.19679897026069734,0.13478826157897872,0,-0.19675287497536248,4.6095285334862846e-05
85,395,396,0,0.089343715707321664,0,-0.24219742084701953,0.088766612469548395,0,-0.2427745240847928,0.00057710323777326877
86,396,397,0,0.080620730312456215,0,-0.250920406241885,0.080614366600281234,0,-0.25092676995405994,6.3637121749809955e-06
87,411,412,0,0.15684775437910928,0,-0.17469338217523192,0.15685649435053184,0,-0.17468464220380936,8.7399714225611103e-06
88,431,432,1,0.077071882527926225,0,-0.25446925402641496,0.077123509770728266,0,-0.2544176267836129,5.1627242802040896e-05
89,435,436,1,0.59019580307607444,1,0.25865466652173325,0.59020034736047944,1,0.25865921080613824,4.5442844049947695e-06
90,441,442,0,0.22200356367648877,0,-0.10953757287785243,0.22206267451718101,0,-0.10947846203716019,5.9110840692239153e-05
91,443,444,0,0.024223725622928478,0,-0.30731741093141274,0.024282058169461808,0,-0.30725907838487937,5.8332546533330226e-05
92,446,447,0,0.040308861426109392,0,-0.2912322751282318,0.040305286722034969,0,-0.29123584983230622,3.5747040744230074e-06
93,448,449,0,0.049554939587258123,0,-0.28198619696708305,0.049554495276359009,0,-0.28198664127798218,4.4431089911423083e-07
94,461,462,0,0.084019312629661044,0,-0.24752182392468014,0.083989921523638364,0,-0.24755121503070282,2.9391106022680358e-05
95,469,470,0,0.11606440917196699,0,-0.21547672738237422,0.11608336082662631,0,-0.21545777572771491,1.8951654659316031e-05
96,474,475,0,0.16708725101659602,0,-0.16445388553774518,0.16710158981875564,0,-0.16443954673558556,1.4338802159619135e-05
97,476,477,0,0.15723351962863927,0,-0.17430761692570193,0.15733133802764523,0,-0.17420979852669596,9.7818399005966672e-05
98,477,478,0,0.22107194479540504,0,-0.11046919175893616,0.22094866840380509,0,-0.11059246815053611,0.00012327639159995241
99,487,488,0,0.080565421975686904,0,-0.25097571457865431,0.080568557240688551,0,-0.25097257931365263,3.1352650016469585e-06
100,499,500,0,0.35049078067145012,1,0.018949644117108921,0.35050988879149142,1,0.018968752237150222,1.9108120041300136e-05
101,501,502,0,0.64537353143323317,1,0.31383239487889197,0.64543924198094527,1,0.31389810542660407,6.5710547712094503e-05
102,505,506,0,0.27208918834797485,0,-0.059451948206366345,0.27184279917078552,0,-0.059698337383555677,0.00024638917718933229
103,507,508,0,0.22621373469533618,0,-0.10532740185900502,0.22578137557803332,0,-0.10575976097630788,0.00043235911730285514
104,508,509,0,0.2441271541222195,0,-0.087413982432121701,0.24400485579212389,0,-0.087536280762217311,0.00012229833009561042
105,523,524,1,0.08442405891865512,0,-0.24711707763568608,0.084474844832269746,0,-0.24706629172207145,5.0785913614626033e-05
106,524,525,0,0.039910891286766309,0,-0.29163024526757486,0.039941311355225773,0,-0.29159982519911543,3.0420068459463545e-05
107,526,527,0,0.47315634731969658,1,0.14161521076535538,0.47312781663970371,1,0.14158668008536252,2.8530679992866403e-05
108,533,534,1,0.69704615263925873,1,0.36550501608491753,0.6970414131222743,1,0.3655002765679331,4.7395169844310914e-06
109,535,536,0,0.10817314629496071,0,-0.22336799025938048,0.10817706550270734,0,-0.22336407105163386,3.9192077466304598e-06
110,540,541,0,0.12048246703367646,0,-0.21105866952066474,0.12050327447793056,0,-0.21103786207641062,2.0807444254103413e-05
111,543,544,0,0.09526893885806631,0,-0.23627219769627489,0.095281826165832459,0,-0.23625931038850873,1.2887307766148992e-05
112,564,565,0,0.73215076224775044,1,0.40060962569340924,0.7321513157733871,1,0.4006101792190459,5.5352563665955756e-07
113,570,571,0,0.11786096405409641,0,-0.21368017250024479,0.11786283804604558,0,-0.21367829850829562,1.8739919491750356e-06
114,571,572,0,0.19582881759500065,0,-0.13571231895934055,0.19566146768448722,0,-0.13587966886985398,0.00016734991051342574
115,577,578,0,0.14646939837322329,0,-0.18507173818111791,0.14645160359851717,0,-0.18508953295582403,1.7794774706120231e-05
116,580,581,1,0.27874038971804288,0,-0.052800746836298318,0.2786357499043346,0,-0.052905386650006603,0.0001046398137082849
117,587,588,1,0.14665971209134773,0,-0.18488142446299347,0.14666903127465428,0,-0.18487210527968692,9.3191833065442431e-06
118,592,593,0,0.12230579652818571,0,-0.20923534002615549,0.12229105193294447,0,-0.20925008462139671,1.4744595241242275e-05
119,599,600,1,0.29883548257970266,0,-0.032705653974638538,0.2988330353444299,0,-0.0327081012099113,2.4472352727622493e-06
120,612,613,0,0.25414741973437105,0,-0.077393716819970149,0.25352390070874914,0,-0.078017235845592059,0.00062351902562191031
121,618,619,0,0.15054595733509232,0,-0.18099517921924888,0.15062515063615481,0,-0.18091598591818639,7.9193301062485677e-05
122,625,626,0,0.22091432652361798,0,-0.11062681003072322,0.22093102452616903,0,-0.11061011202817217,1.6698002551052138e-05
123,626,627,0,0.11307816903800287,0,-0.21846296751633831,0.11311377447880032,0,-0.21842736207554087,3.5605440797448207e-05
124,629,630,0,0.11506666922758574,0,-0.21647446732675546,0.11508189824947501,0,-0.21645923830486619,1.5229021889273664e-05
125,639,640,0,0.10921427343525048,0,-0.22232686311909072,0.10919806061163033,0,-0.22234307594271085,1.6212823620145866e-05
126,641,642,0,0.17081150088267708,0,-0.16072963567166412,0.17080295475589113,0,-0.16073818179845006,8.5461267859410217e-06
127,645,646,0,0.2382172705973124,0,-0.093323865957028795,0.23821710369862334,0,-0.093324032855717859,1.6689868906349936e-07
128,653,654,1,0.23512438337647221,0,-0.096416753177868991,0.23508973449736661,0,-0.096451402056974583,3.4648879105592112e-05
129,654,655,0,0.17512678680375612,0,-0.15641434975058507,0.17515300002151488,0,-0.15638813653282632,2.6213217758752627e-05
130,655,656,1,0.063906633522660461,0,-0.26763450303168074,0.063839607362929332,0,-0.26770152919141188,6.7026159731128909e-05
131,665,666,0,0.14552269233352941,0,-0.18601844422081179,0.14452028877838721,0,-0.18702084777595399,0.001002403555142195
132,668,669,0,0.6724181015737748,1,0.3408769650194336,0.67242896210159564,1,0.34088782554725444,1.0860527820844013e-05
133,669,670,1,0.63064181836745792,1,0.29910068181311672,0.63062710689716794,1,0.29908597034282675,1.4711470289974216e-05
134,670,671,0,0.49491075103508864,1,0.16336961448074744,0.49491089605322236,1,0.16336975949888116,1.4501813372369554e-07
135,673,674,1,0.79109796049347336,1,0.45955682393913216,0.79096458298502825,1,0.45942344643068705,0.00013337750844510943
136,678,679,0,0.13756957267286762,0,-0.19397156388147357,0.13757183922154903,0,-0.19396929733279217,2.2665486814066327e-06
137,689,690,0,0.11607945554308442,0,-0.21546168101125679,0.11603110028501235,0,-0.21551003626932885,4.8355258072077523e-05
138,691,692,0,0.30922828311324696,0,-0.022312853441094238,0.30907699843412956,0,-0.022464138120211641,0.00015128467911740273
139,696,697,0,0.065485987269910825,0,-0.26605514928443036,0.065470739819301876,0,-0.26607039673503929,1.5247450608948943e-05
140,702,703,1,0.17387978863478865,0,-0.15766134791955255,0.17389833456293216,0,-0.15764280199140904,1.8545928143515189e-05
141,705,706,1,0.087008783677596874,0,-0.24453235287674432,0.087117720850101388,0,-0.24442341570423981,0.00010893717250451407
142,706,707,0,0.3441231435976333,1,0.012582007043292098,0.34417830779807962,1,0.012637171243738421,5.5164200446322642e-05
143,711,712,0,0.16991570526464062,0,-0.16162543128970058,0.16990930248275801,0,-0.16163183407158319,6.4027818826029037e-06
144,714,715,0,0.081199417741152219,0,-0.25034171881318901,0.081189692034022404,0,-0.25035144452031877,9.725707129815131e-06
145,726,727,0,0.15375668563770573,0,-0.17778445091663547,0.15379819658339128,0,-0.17774293997094992,4.1510945685552247e-05
146,727,728,0,0.20528793788948785,0,-0.12625319866485335,0.20529250558530288,0,-0.12624863096903832,4.5676958150275837e-06
147,728,729,0,0.061842960521849899,0,-0.2696981760324913,0.061864687747472828,0,-0.26967644880686836,2.1727225622929225e-05
148,730,731,0,0.093066741867273248,0,-0.23847439468706794,0.093040181148272685,0,-0.23850095540606853,2.6560719000562338e-05
149,746,747,0,0.093540533124942565,0,-0.23800060342939863,0.093500316287324983,0,-0.23804082026701623,4.0216837617582102e-05
150,749,750,1,0.58239257060513405,1,0.25085143405079285,0.58240141967224512,1,0.25086028311790393,8.8490671110719177e-06
151,756,757,0,0.057104986910498916,0,-0.27443614964384228,0.057116810965901578,0,-0.2744243255884396,1.1824055402662181e-05
152,760,761,1,0.45243273909110832,1,0.12089160253676712,0.45243981468529559,1,0.1208986781309544,7.0755941872779893e-06
153,762,763,0,0.09769771424417531,0,-0.23384342231016589,0.09770042043028114,0,-0.23384071612406004,2.7061861058302883e-06
154,777,778,0,0.19131110741388074,0,-0.14023002914046045,0.19130330961060368,0,-0.14023782694373751,7.7978032770598116e-06
155,780,781,0,0.45212992885183867,1,0.12058879229749747,0.45198505387320015,1,0.12044391731885895,0.00014487497863852061
156,784,785,1,0.1680297005686755,0,-0.1635114359856657,0.16812803648274649,0,-0.16341310007159471,9.8335914070990516e-05
157,788,789,0,0.1292195619981916,0,-0.2023215745561496,0.12921372023535138,0,-0.20232741631898982,5.8417628402140931e-06
158,797,798,0,0.1498497660955182,0,-0.181691370458823,0.14978708068881316,0,-0.18175405586552804,6.2685406705037527e-05
159,798,799,0,0.67779413119104459,1,0.34625299463670339,0.67775405743587658,1,0.34621292088153538,4.0073755168013037e-05
160,799,800,0,0.0081349290518630303,0,-0.32340620750247817,0.0081513770254848204,0,-0.3233897595288564,1.6447973621790124e-05
161,802,803,0,0.067013907723799032,0,-0.26452722883054214,0.067019497553726839,0,-0.26452163900061437,5.5898299278073216e-06
162,804,805,0,0.097843977948490257,0,-0.23369715860585094,0.097908520340871302,0,-0.2336326162134699,6.4542392381045088e-05
163,818,819,0,0.14667464909275235,0,-0.18486648746158885,0.14642258185712517,0,-0.18511855469721603,0.00025206723562717914
164,824,825,1,0.055051372917037177,0,-0.27648976363730404,0.055097170810062927,0,-0.27644396574427826,4.5797893025750769e-05
165,825,826,0,0.21584713640391187,0,-0.11569400015042933,0.21589502205146791,0,-0.11564611450287329,4.7885647556034083e-05
166,838,839,0,0.079855389690711778,0,-0.25168574686362943,0.079858075318332361,0,-0.25168306123600881,2.6856276205827756e-06
167,841,842,0,0.021077534466083497,0,-0.31046360208825768,0.021072171436107543,0,-0.31046896511823363,5.3630299759535593e-06
168,845,846,0,0.11218176944991498,0,-0.21935936710442622,0.1122120381325015,0,-0.2193290984218397,3.026868258651505e-05
169,846,847,0,0.1376900873872027,0,-0.19385104916713849,0.13769228008604659,0,-0.19384885646829461,2.1926988438836226e-06
170,851,852,0,0.51496790543037974,1,0.18342676887603854,0.51497693123877863,1,0.18343579468443744,9.0258083988992155e-06
171,852,853,0,0.12466267717082562,0,-0.20687845938351557,0.12467291942139865,0,-0.20686821713294257,1.0242250573028189e-05
172,856,857,1,0.42920578626816946,1,0.097664649713828267,0.42919077133639305,1,0.097649634782051853,1.5014931776413665e-05
173,864,865,0,0.014004513836924635,0,-0.31753662271741656,0.014056351978040409,0,-0.3174847845763008,5.1838141115773811e-05
174,869,870,0,0.09310436822063814,0,-0.23843676833370306,0.093254023559827787,0,-0.23828711299451341,0.00014965533918964713
175,871,872,0,0.032028394744015455,0,-0.29951274181032572,0.032102059221584642,0,-0.29943907733275654,7.3664477569186648e-05
176,873,874,0,0.12320367235140763,0,-0.20833746420293359,0.12329048706957202,0,-0.20825064948476918,8.6814718164393567e-05
177,874,875,0,0.21352996815797329,0,-0.11801116839636791,0.21351834427261954,0,-0.11802279228172166,1.1623885353750918e-05
178,883,884,0,0.14735061445819012,0,-0.18419052209615108,0.14724844731390965,0,-0.18429268924043155,0.00010216714428046281
179,885,886,0,0.1498742312721788,0,-0.18166690528216239,0.14986817469181213,0,-0.18167296186252907,6.0565803666756679e-06
180,897,898,1,0.73554079712142073,1,0.40399966056707953,0.7355252460741375,1,0.4039841095197963,1.555104728323542e-05
181,908,909,0,0.076029361178749463,0,-0.25551177537559172,0.076042716439546618,0,-0.25549842011479457,1.3355260797154322e-05
182,910,911,0,0.61410949676519211,1,0.28256836021085091,0.61412003163357598,1,0.28257889507923478,1.0534868383871299e-05
183,912,913,0,0.040394740919601685,0,-0.29114639563473954,0.040472405039366,0,-0.2910687315149752,7.7664119764314643e-05
184,918,919,0,0.12624121595015508,0,-0.20529992060418611,0.12625203685864136,0,-0.20528909969569983,1.0820908486280922e-05
185,920,921,0,0.20383170672420242,0,-0.12770942983013878,0.20381792262239654,0,-0.12772321393194466,1.3784101805885962e-05
186,931,932,1,0.068175334470156168,0,-0.26336580208418503,0.068178365163807,0,-0.26336277139053421,3.0306936508323057e-06
187,932,933,1,0.30509636837877191,0,-0.026444768175569289,0.30507150059556204,0,-0.026469635958779159,2.486778320986982e-05
188,943,944,1,0.679313612525549,1,0.34777247597120781,0.67952798962568117,1,0.34798685307133997,0.00021437710013216815
189,960,961,1,0.45567794454889793,1,0.12413680799455673,0.4557020857128572,1,0.124160949158516,2.414116395926813e-05
190,969,970,0,0.075521204021746405,0,-0.25601993253259481,0.075529654854052788,0,-0.25601148170028842,8.4508323063836599e-06
191,970,971,1,0.076440511070542949,0,-0.25510062548379825,0.076447182351328705,0,-0.25509395420301251,6.6712807857555179e-06
192,971,972,0,0.062176006196997299,0,-0.26936513035734388,0.062296155658704229,0,-0.26924498089563698,0.00012014946170692958
193,973,974,0,0.085483353899940648,0,-0.24605778265440054,0.085493960866386887,0,-0.24604717568795431,1.0606966446238819e-05
194,977,978,0,0.095338273173477789,0,-0.23620286338086341,0.095347042366219506,0,-0.23619409418812171,8.7691927417171689e-06
195,982,983,1,0.017344611746216636,0,-0.31419652480812454,0.017354542306150481,0,-0.31418659424819073,9.9305599338440909e-06
196,985,986,1,0.25848950038591678,0,-0.073051636168424416,0.25848831955090457,0,-0.073052817003436632,1.1808350122155531e-06
197,987,988,0,0.3152264891658757,0,-0.016314647388465497,0.3245245387665911,0,-0.0070165977877501007,0.0092980496007153968
198,989,990,0,0.52098513246424438,1,0.18944399590990318,0.52102386821945335,1,0.18948273166511215,3.8735755208962885e-05
199,990,991,0,0.206340714072826,0,-0.12520042248151519,0.20634621997846775,0,-0.12519491657587345,5.5059056417450236e-06
200,996,997,0,0.22925947755272744,0,-0.10228165900161376,0.22926294365981881,0,-0.10227819289452239,3.4661070913710734e-06
201,999,1000,0,0.52696675151215444,1,0.19542561495781324,0.52697728910849961,1,0.19543615255415842,1.0537596345172595e-05
202,1004,1005,1,0.07461592250076636,0,-0.25692521405357482,0.074632741354994508,0,-0.25690839519934672,1.6818854228148328e-05
203,1009,1010,0,0.12763371204037693,0,-0.20390742451396426,0.12767107151865822,0,-0.20387006503568297,3.735947828129027e-05
204,1022,1023,0,0.083428308334848433,0,-0.24811282821949276,0.083418970301647896,0,-0.24812216625269329,9.3380332005371658e-06
205,1024,1025,0,0.055567270000528128,0,-0.27597386655381306,0.055583724792422066,0,-0.27595741176191912,1.6454791893938392e-05
206,1034,1035,0,0.31359983031505062,0,-0.017941306239290578,0.31360528570424895,0,-0.01793585085009225,5.4553891983277758e-06
207,1035,1036,1,0.59905244806409719,1,0.26751131150975599,0.59905473208593707,1,0.26751359553159587,2.2840218398822998e-06
208,1037,1038,1,0.10353404730904885,0,-0.22800708924529234,0.10345608650487524,0,-0.22808505004946594,7.7960804173604625e-05
209,1038,1039,0,0.12187770960913885,0,-0.20966342694520235,0.12184914528409806,0,-0.20969199127024313,2.8564325040794647e-05
210,1046,1047,1,0.19887134726812386,0,-0.13266978928621734,0.19887059641101631,0,-0.13267054014332488,7.5085710754541068e-07
211,1048,1049,0,0.088350894809885935,0,-0.24319024174445525,0.088354843929240201,0,-0.243186292625101,3.9491193542656733e-06
212,1049,1050,0,0.18667176145165731,0,-0.14486937510268388,0.18668002726843494,0,-0.14486110928590626,8.2658167776250568e-06
213,1053,1054,0,0.091268696293522689,0,-0.24027244026081851,0.091152313250442971,0,-0.24038882330389821,0.00011638304307971803
214,1056,1057,0,0.28360105520868506,0,-0.047940081345656138,0.28361941968796484,0,-0.047921716866376363,1.836447927977547e-05
215,1060,1061,1,0.21482860497039122,0,-0.11671253158394998,0.21488276380878119,0,-0.11665837274556001,5.4158838389967157e-05
216,1071,1072,1,0.0754922826436914,0,-0.2560488539106498,0.075507102637819262,0,-0.25603403391652191,1.4819994127862612e-05
217,1077,1078,0,0.041608666769374622,0,-0.28993246978496656,0.04160626880582529,0,-0.2899348677485159,2.3979635493318052e-06
218,1078,1079,0,0.23575356540168305,0,-0.095787571152658152,0.23601602407629232,0,-0.095525112478048874,0.0002624586746092783
219,1084,1085,0,0.1350104184178596,0,-0.1965307181364816,0.13492651837289033,0,-0.19661461818145087,8.3900044969276166e-05
220,1087,1088,0,0.23534494446268825,0,-0.096196192091652949,0.23529259554813958,0,-0.096248541006201616,5.2348914548666636e-05
221,1088,1089,0,0.25180065772774729,0,-0.079740478826593908,0.24695378737151794,0,-0.084587349182823263,0.0048468703562293547
222,1089,1090,0,0.070284037041993486,0,-0.26125709951234771,0.070312707071868513,0,-0.26122842948247271,2.8670029875027536e-05
223,1091,1092,0,0.11632473145031844,0,-0.21521640510402276,0.11649512234469479,0,-0.21504601420964642,0.00017039089437635713
224,1093,1094,1,0.40285047517605205,1,0.071309338621710849,0.4011484611378941,1,0.069607324583552899,0.0017020140381579507
